,soap,powder,cleaner,paint,foam,profit
soap,1.0,0.23273822939392697,0.6693199924751864,0.14814933811414524,-0.12390447528658416,0.7932463344677553
powder,0.23273822939392697,1.0,0.23929231455569888,0.26102781592658325,0.08235994213106007,0.21425810246974303
cleaner,0.6693199924751864,0.23929231455569888,1.0,0.16232382528744704,-0.08998059613154366,0.3797892403449207
paint,0.14814933811414524,0.26102781592658325,0.16232382528744704,1.0,0.18450052034985798,0.2939743171873654
foam,-0.12390447528658416,0.08235994213106007,-0.08998059613154366,0.18450052034985798,1.0,0.018030000662483905
profit,0.7932463344677553,0.21425810246974303,0.3797892403449207,0.2939743171873654,0.018030000662483905,1.0
