series,method,roughness,roughness_ratio_to_raw,mean_abs_change_from_raw,std
co_sensor,raw,70.47873022659256,1.0,0.0,218.18468624740908
co_sensor,moving_average,37.270786166555325,0.5288231789467251,47.96122734857702,193.9152568633495
co_sensor,kalman,16.47690196524753,0.23378545431044923,108.59608637420618,156.60939980759196
co_sensor,savitzky_golay,50.81547575678485,0.7210044164162807,32.029271247685145,209.50035097983263
co_sensor,haar_wavelet,49.825036972822076,0.7069513995588761,27.081117709941925,199.48873447296617
co_sensor,lms,78.14146553900403,1.1087240829648235,81.61123693248133,235.6444268062657
ozone_sensor,raw,125.25053441641727,1.0,0.0,404.42600063461384
ozone_sensor,moving_average,68.88486024944736,0.5499765775084648,81.99964923762272,364.4128791166702
ozone_sensor,kalman,29.964300261655136,0.23923490946580386,197.52990154698304,302.4471376048478
ozone_sensor,savitzky_golay,93.21952651728866,0.7442645011586463,53.05418425311039,391.3325881087142
ozone_sensor,haar_wavelet,85.63690237479973,0.6837248461558247,54.68198552606,367.08780127052694
ozone_sensor,lms,165.65183956020033,1.3225639342141398,138.08064060891854,438.4326451258895
