series,count,mean,std,min,max,trend_slope_per_step,lag1_autocorrelation,dominant_period_steps
soap,50,96.4,19.62956953170395,64.0,129.0,-0.058391356542616984,0.19287850018106495,19.0
powder,50,18.56,4.49070150421958,8.0,28.0,0.07270108043217283,-0.004899183295020982,13.0
cleaner,50,21.52,3.3955264687526734,12.0,29.0,0.00825930372148837,0.041204648339040056,12.0
paint,50,43.26,1.786728854639114,40.0,47.0,-0.011764705882352837,-0.2004657516419451,17.0
foam,50,20.4,1.98997487421324,15.0,26.0,-0.01978391356542611,0.09581169099066603,11.0
profit,50,27.256040000000002,1.9070633650720679,23.241,30.6,-0.008286194477791142,0.15036743108630232,9.0
